time,device_id,s_d0,s_t0,s_h0,lat,lon,school,time2
2016-04-25 08:56:11,28C2DDDD441E,45,29.25,79,25.154895,121.503983,大屯國小,2016/4/25 9:00
2016-04-25 08:55:43,28C2DDDD45A9,48,28.87,151,25.0652808,121.5161749,大同國小,2016/4/25 9:00
2016-04-25 08:58:31,28C2DDDD41B2,43,29.12,83,25.073294,121.5363674,大佳國小,2016/4/25 9:00
2016-04-25 08:57:22,28C2DDDD4594,44,28.87,84,25.0804934,121.5460971,大直國小,2016/4/25 9:00
2016-04-25 08:53:47,28C2DDDD4599,46,29,80,25.031305,121.4939132,大理國小,2016/4/25 9:00
2016-04-25 08:56:50,28C2DDDD4413,45,29.37,83,25.063613,121.526363,中山國小,2016/4/25 9:00
2016-04-25 08:54:42,28C2DDDD4536,43,30.12,76,25.05049,121.5400725,中正國小,2016/4/25 9:00
2016-04-25 08:57:50,28C2DDDD456A,47,29.87,80,25.0357732,121.55235,仁愛國小,2016/4/25 9:00
2016-04-25 08:54:57,28C2DDDD436D,40,29.12,83,25.0791258,121.5802392,內湖國小,2016/4/25 9:00
2016-04-25 08:54:47,28C2DDDD4349,40,31.62,67,25.137188,121.496154,文化國小,2016/4/25 9:00
2016-04-25 08:56:34,28C2DDDD4239,45,30.12,78,25.099401,121.521359,文昌國小,2016/4/25 9:00
2016-04-25 08:53:51,28C2DDDD4351,40,30.5,76,25.1059048,121.5147443,文林國小,2016/4/25 9:00
2016-04-25 08:59:24,28C2DDDD4790,42,29.12,98,25.085771,121.5601224,文湖國小,2016/4/25 9:00
2016-04-25 08:55:37,28C2DDDD4236,40,29.37,79,25.054494,121.5165179,日新國小,2016/4/25 9:00
2016-04-25 08:54:08,28C2DDDD4354,49,30.25,80,24.9902695,121.5701489,木柵國小,2016/4/25 9:00
2016-04-25 08:58:17,28C2DDDD41C0,55,31.12,87,25.0205827,121.5287775,古亭國小,2016/4/25 9:00
2016-04-25 08:53:37,28C2DDDD4588,55,28.75,85,25.0357882,121.5135444,台北市立大學附設實驗國小,2016/4/25 9:00
2016-04-25 08:57:11,28C2DDDD41FA,45,28.5,86,25.0565153,121.5521795,民生國小,2016/4/25 9:00
2016-04-25 08:56:14,28C2DDDD4408,44,29.5,84,25.0594726,121.5518154,民族國小,2016/4/25 9:00
